Item code name,To zone name,Invoice date,Total,Item name
AC1000HI,Hàng hỏng,2025-06-02T00:00:00,6,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1000C V2,Hàng hỏng,2025-06-02T00:00:00,7,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AX3000C V2,Hàng hỏng,2025-06-02T00:00:00,12,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AC1000F,Hàng hỏng,2025-06-02T00:00:00,4,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000C V3,Hàng hỏng,2025-06-02T00:00:00,4,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
G-97RG3,Hàng hỏng,2025-06-03T00:00:00,1,CPE GPON ONT 4GE with wifi NO.G-97RG3 (CIG)
AC1000HI,Hàng hỏng,2025-06-03T00:00:00,3,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1200C,Hàng hỏng,2025-06-03T00:00:00,1,Thiết bị thu phát wifi CIG Access Point AC1200C
AC1000C V3,Hàng hỏng,2025-06-03T00:00:00,3,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
AC1000C V2,Hàng hỏng,2025-06-03T00:00:00,25,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AX3000C V2,Hàng hỏng,2025-06-03T00:00:00,8,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AX3000C,Hàng hỏng,2025-06-03T00:00:00,8,Thiết bị mạng nội bộ không dây Access Point AX3000C
AC1000F,Hàng hỏng,2025-06-03T00:00:00,9,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000C,Hàng hỏng,2025-06-03T00:00:00,5,CPE GPON ONT 4GE with wifi 11.ac G-97RG6M
AX1800C,Hàng hỏng,2025-06-03T00:00:00,3,Thiết bị định tuyến GPON có wifi CIG Internet Hub AX1800C
AX3000H V2,Hàng hỏng,2025-06-03T00:00:00,1,Thiết bị định tuyến có chức năng vô tuyến Internet Hub AX3000HV2
AX1800AZ,Hàng hỏng,2025-06-03T00:00:00,1,Thiết bị thu phát wifi Access point AX1800Z – ZTE ZXHN H3601
AX3000C V2,Hàng hỏng,2025-06-04T00:00:00,26,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AX1800C,Hàng hỏng,2025-06-04T00:00:00,8,Thiết bị định tuyến GPON có wifi CIG Internet Hub AX1800C
AC1000HI,Hàng hỏng,2025-06-04T00:00:00,14,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1000F,Hàng hỏng,2025-06-04T00:00:00,33,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000C,Hàng hỏng,2025-06-04T00:00:00,3,CPE GPON ONT 4GE with wifi 11.ac G-97RG6M
AC1000C V3,Hàng hỏng,2025-06-04T00:00:00,4,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
AC1000C V2,Hàng hỏng,2025-06-04T00:00:00,5,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AX3000H V2,Hàng hỏng,2025-06-04T00:00:00,2,Thiết bị định tuyến có chức năng vô tuyến Internet Hub AX3000HV2
AC1000F,Hàng hỏng,2025-06-05T00:00:00,6,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000HI,Hàng hỏng,2025-06-05T00:00:00,12,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1000C V3,Hàng hỏng,2025-06-05T00:00:00,9,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
AC1000C V2,Hàng hỏng,2025-06-05T00:00:00,84,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AX3000C V2,Hàng hỏng,2025-06-05T00:00:00,25,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AC1000C,Hàng hỏng,2025-06-05T00:00:00,5,CPE GPON ONT 4GE with wifi 11.ac G-97RG6M
AX1800AZ,Hàng hỏng,2025-06-05T00:00:00,1,Thiết bị thu phát wifi Access point AX1800Z – ZTE ZXHN H3601
AX3000AZ,Hàng hỏng,2025-06-05T00:00:00,1,Thiết bị thu phát wifi Access point AX3000AZ – ZTE ZXHN H3601P
AX3000C,Hàng hỏng,2025-06-05T00:00:00,7,Thiết bị mạng nội bộ không dây Access Point AX3000C
AX1800C,Hàng hỏng,2025-06-05T00:00:00,14,Thiết bị định tuyến GPON có wifi CIG Internet Hub AX1800C
AC1000C V2,Hàng hỏng,2025-06-10T00:00:00,42,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AC1000F,Hàng hỏng,2025-06-10T00:00:00,19,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000HI,Hàng hỏng,2025-06-10T00:00:00,26,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1000C V3,Hàng hỏng,2025-06-10T00:00:00,4,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
AX3000AZ,Hàng hỏng,2025-06-10T00:00:00,1,Thiết bị thu phát wifi Access point AX3000AZ – ZTE ZXHN H3601P
AC1000C V2,Hàng hỏng,2025-06-11T00:00:00,24,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AC1000HI,Hàng hỏng,2025-06-11T00:00:00,2,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AX1800C,Hàng hỏng,2025-06-11T00:00:00,4,Thiết bị định tuyến GPON có wifi CIG Internet Hub AX1800C
AC1000C,Hàng hỏng,2025-06-11T00:00:00,22,CPE GPON ONT 4GE with wifi 11.ac G-97RG6M
AX3000C,Hàng hỏng,2025-06-11T00:00:00,6,Thiết bị mạng nội bộ không dây Access Point AX3000C
AX3000C V2,Hàng hỏng,2025-06-11T00:00:00,3,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AX3000AZ,Hàng hỏng,2025-06-11T00:00:00,1,Thiết bị thu phát wifi Access point AX3000AZ – ZTE ZXHN H3601P
AX3000C V2,Hàng hỏng,2025-06-13T00:00:00,5,Thiết bị mạng nội bộ không dây Access Point AX3000C V2
AC1000C V2,Hàng hỏng,2025-06-13T00:00:00,38,CPE GPON ONT 4GE with wifi 11.ac G-97RG6W (Internet Hub AC1000C V2)
AC1000HI,Hàng hỏng,2025-06-13T00:00:00,3,Thiết bị đầu cuối mạng quang GPON có wifi Hisense Internet Hub AC1000HI
AC1000F,Hàng hỏng,2025-06-13T00:00:00,5,CPE GPON ONT 4GE with wifi 11.AC upto 1.166Gbps Internet Hub AC1000F (FOXCONN)
AC1000C V3,Hàng hỏng,2025-06-13T00:00:00,1,Thiết bị định tuyến GPON có wifi CIG Internet Hub AC1000C V3
AX3000H V2,Hàng hỏng,2025-06-13T00:00:00,1,Thiết bị định tuyến có chức năng vô tuyến Internet Hub AX3000HV2
AX1800C,Hàng hỏng,2025-06-13T00:00:00,1,Thiết bị định tuyến GPON có wifi CIG Internet Hub AX1800C
AX3000C,Hàng hỏng,2025-06-13T00:00:00,6,Thiết bị mạng nội bộ không dây Access Point AX3000C
AX1800AZ,Hàng hỏng,2025-06-13T00:00:00,1,Thiết bị thu phát wifi Access point AX1800Z – ZTE ZXHN H3601
